Tournament_Season,Round,Match_ID
tournament_17_season_76986,1,14025013
tournament_17_season_76986,1,14025016
tournament_17_season_76986,1,14025020
tournament_17_season_76986,1,14025038
tournament_17_season_76986,1,14025047
tournament_17_season_76986,1,14025050
tournament_17_season_76986,1,14025053
tournament_17_season_76986,1,14025028
tournament_17_season_76986,1,14025056
tournament_17_season_76986,1,14025059
tournament_17_season_76986,2,14025088
tournament_17_season_76986,2,14025083
tournament_17_season_76986,2,14025062
tournament_17_season_76986,2,14025068
tournament_17_season_76986,2,14025071
tournament_17_season_76986,2,14025065
tournament_17_season_76986,2,14025074
tournament_17_season_76986,2,14025077
tournament_17_season_76986,2,14025080
tournament_17_season_76986,2,14147154
tournament_17_season_76986,3,14025097
tournament_17_season_76986,3,14025106
tournament_17_season_76986,3,14025112
tournament_17_season_76986,3,14025115
tournament_17_season_76986,3,14025118
tournament_17_season_76986,3,14025100
tournament_17_season_76986,3,14025094
tournament_17_season_76986,3,14025109
tournament_17_season_76986,3,14025103
tournament_17_season_76986,3,14025091
tournament_17_season_76986,4,14025124
tournament_17_season_76986,4,14025121
tournament_17_season_76986,4,14025133
tournament_17_season_76986,4,14025136
tournament_17_season_76986,4,14025139
tournament_17_season_76986,4,14025145
tournament_17_season_76986,4,14025148
tournament_17_season_76986,4,14025127
tournament_17_season_76986,4,14025130
tournament_17_season_76986,4,14025142
tournament_17_season_76986,5,14025166
tournament_17_season_76986,5,14025151
tournament_17_season_76986,5,14025157
tournament_17_season_76986,5,14025160
tournament_17_season_76986,5,14025175
tournament_17_season_76986,5,14025178
tournament_17_season_76986,5,14025169
tournament_17_season_76986,5,14025163
tournament_17_season_76986,5,14025172
tournament_17_season_76986,5,14025154
tournament_17_season_76986,6,14025184
tournament_17_season_76986,6,14025181
tournament_17_season_76986,6,14025187
tournament_17_season_76986,6,14025190
tournament_17_season_76986,6,14025193
tournament_17_season_76986,6,14025196
tournament_17_season_76986,6,14025199
tournament_17_season_76986,6,14025205
tournament_17_season_76986,6,14025208
tournament_17_season_76986,6,14025202
tournament_17_season_76986,6,14311407
tournament_17_season_76986,7,14025211
tournament_17_season_76986,7,14025225
tournament_17_season_76986,7,14025214
tournament_17_season_76986,7,14025223
tournament_17_season_76986,7,14025227
tournament_17_season_76986,7,14025221
tournament_17_season_76986,7,14025217
tournament_17_season_76986,7,14025229
tournament_17_season_76986,7,14025231
tournament_17_season_76986,7,14025219
tournament_17_season_76986,8,14025245
tournament_17_season_76986,8,14025233
tournament_17_season_76986,8,14025235
tournament_17_season_76986,8,14025237
tournament_17_season_76986,8,14025243
tournament_17_season_76986,8,14025247
tournament_17_season_76986,8,14025251
tournament_17_season_76986,8,14025239
tournament_17_season_76986,8,14025249
tournament_17_season_76986,8,14025241
tournament_17_season_76986,8,14504827
tournament_17_season_76986,9,14025265
tournament_17_season_76986,9,14025259
tournament_17_season_76986,9,14025255
tournament_17_season_76986,9,14025261
tournament_17_season_76986,9,14025269
tournament_17_season_76986,9,14025267
tournament_17_season_76986,9,14025257
tournament_17_season_76986,9,14025253
tournament_17_season_76986,9,14025271
tournament_17_season_76986,9,14025263
tournament_17_season_76986,10,14025273
tournament_17_season_76986,10,14025275
tournament_17_season_76986,10,14025277
tournament_17_season_76986,10,14025279
tournament_17_season_76986,10,14025281
tournament_17_season_76986,10,14025283
tournament_17_season_76986,10,14025285
tournament_17_season_76986,10,14025287
tournament_17_season_76986,10,14025289
tournament_17_season_76986,10,14025291
tournament_17_season_76986,11,14025014
tournament_17_season_76986,11,14025017
tournament_17_season_76986,11,14025023
tournament_17_season_76986,11,14025033
tournament_17_season_76986,11,14025043
tournament_17_season_76986,11,14025048
tournament_17_season_76986,11,14025051
tournament_17_season_76986,11,14025054
tournament_17_season_76986,11,14025057
tournament_17_season_76986,11,14025060
tournament_17_season_76986,12,14025066
tournament_17_season_76986,12,14025063
tournament_17_season_76986,12,14025069
tournament_17_season_76986,12,14025072
tournament_17_season_76986,12,14025075
tournament_17_season_76986,12,14025078
tournament_17_season_76986,12,14025081
tournament_17_season_76986,12,14025084
tournament_17_season_76986,12,14025087
tournament_17_season_76986,12,14025090
tournament_17_season_76986,13,14025093
tournament_17_season_76986,13,14025096
tournament_17_season_76986,13,14025099
tournament_17_season_76986,13,14025102
tournament_17_season_76986,13,14025105
tournament_17_season_76986,13,14025108
tournament_17_season_76986,13,14025111
tournament_17_season_76986,13,14025114
tournament_17_season_76986,13,14025117
tournament_17_season_76986,13,14025120
tournament_17_season_76986,14,14025126
tournament_17_season_76986,14,14025123
tournament_17_season_76986,14,14025129
tournament_17_season_76986,14,14025132
tournament_17_season_76986,14,14025135
tournament_17_season_76986,14,14025138
tournament_17_season_76986,14,14025147
tournament_17_season_76986,14,14025150
tournament_17_season_76986,14,14025141
tournament_17_season_76986,14,14025144
tournament_17_season_76986,15,14025156
tournament_17_season_76986,15,14025153
tournament_17_season_76986,15,14025159
tournament_17_season_76986,15,14025162
tournament_17_season_76986,15,14025165
tournament_17_season_76986,15,14025168
tournament_17_season_76986,15,14025171
tournament_17_season_76986,15,14025174
tournament_17_season_76986,15,14025177
tournament_17_season_76986,15,14025180
tournament_17_season_76986,16,14025183
tournament_17_season_76986,16,14025186
tournament_17_season_76986,16,14025189
tournament_17_season_76986,16,14025192
tournament_17_season_76986,16,14025195
tournament_17_season_76986,16,14025198
tournament_17_season_76986,16,14025201
tournament_17_season_76986,16,14025204
tournament_17_season_76986,16,14025207
tournament_17_season_76986,16,14025210
tournament_17_season_76986,17,14025216
tournament_17_season_76986,17,14025213
tournament_17_season_76986,17,14025218
tournament_17_season_76986,17,14025220
tournament_17_season_76986,17,14025222
tournament_17_season_76986,17,14025224
tournament_17_season_76986,17,14025226
tournament_17_season_76986,17,14025228
tournament_17_season_76986,17,14025230
tournament_17_season_76986,17,14025232
tournament_17_season_76986,18,14025234
tournament_17_season_76986,18,14025236
tournament_17_season_76986,18,14025238
tournament_17_season_76986,18,14025240
tournament_17_season_76986,18,14025242
tournament_17_season_76986,18,14025244
tournament_17_season_76986,18,14025246
tournament_17_season_76986,18,14025248
tournament_17_season_76986,18,14025250
tournament_17_season_76986,18,14025252
tournament_17_season_76986,19,14025254
tournament_17_season_76986,19,14025256
tournament_17_season_76986,19,14025258
tournament_17_season_76986,19,14025260
tournament_17_season_76986,19,14025262
tournament_17_season_76986,19,14025264
tournament_17_season_76986,19,14025266
tournament_17_season_76986,19,14025268
tournament_17_season_76986,19,14025270
tournament_17_season_76986,19,14025272
tournament_17_season_76986,20,14025276
tournament_17_season_76986,20,14025274
tournament_17_season_76986,20,14025278
tournament_17_season_76986,20,14025280
tournament_17_season_76986,20,14025282
tournament_17_season_76986,20,14025284
tournament_17_season_76986,20,14025286
tournament_17_season_76986,20,14025288
tournament_17_season_76986,20,14025290
tournament_17_season_76986,20,14025292
tournament_17_season_76986,21,14025019
tournament_17_season_76986,21,14025015
tournament_17_season_76986,21,14025027
tournament_17_season_76986,21,14025037
tournament_17_season_76986,21,14025058
tournament_17_season_76986,21,14025046
tournament_17_season_76986,21,14025049
tournament_17_season_76986,21,14025061
tournament_17_season_76986,21,14025052
tournament_17_season_76986,21,14025055
tournament_17_season_76986,22,14025064
tournament_17_season_76986,22,14025067
tournament_17_season_76986,22,14025070
tournament_17_season_76986,22,14025073
tournament_17_season_76986,22,14025076
tournament_17_season_76986,22,14025079
tournament_17_season_76986,22,14025082
tournament_17_season_76986,22,14025085
tournament_17_season_76986,22,14025089
tournament_17_season_76986,22,14025092
tournament_17_season_76986,23,14025098
tournament_17_season_76986,23,14025095
tournament_17_season_76986,23,14025101
tournament_17_season_76986,23,14025104
tournament_17_season_76986,23,14025107
tournament_17_season_76986,23,14025110
tournament_17_season_76986,23,14025113
tournament_17_season_76986,23,14025116
tournament_17_season_76986,23,14025119
tournament_17_season_76986,23,14025122
tournament_17_season_76986,24,14025125
